project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
1884199,2013-03-10,0,{794555: 1},1,0,0,0,0,0,0,0,0
1884199,2013-03-11,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-12,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-13,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-14,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-15,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-16,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-17,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-18,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-19,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-20,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-21,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-22,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-23,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-24,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-25,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-26,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-27,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-28,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-29,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-30,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-03-31,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-01,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-02,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-03,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-04,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-05,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-06,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-07,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-08,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-09,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-10,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-11,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-12,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-13,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-14,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-15,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-16,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-17,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-18,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-19,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-20,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-21,0,{},0,0,0,0,0,0,0,0,0
1884199,2013-04-22,1,{},0,0,0,0,0,0,0,0,0
