project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
2262397,2013-07-25,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-07-26,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-07-27,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-07-28,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-07-29,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-07-30,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-07-31,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-01,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-02,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-03,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-04,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-05,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-06,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-07,0,{389767: 1},1,0,0,0,0,0,0,0,0
2262397,2013-08-08,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-09,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-10,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-11,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-12,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-13,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-14,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-15,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-16,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-17,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-18,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-19,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-20,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-21,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-22,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-23,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-24,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-25,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-26,0,{},0,0,0,0,0,0,0,0,0
2262397,2013-08-27,0,{389767: 11},11,0,0,0,0,0,0,0,0
