project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
25523,2011-02-10,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-11,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-12,0,{78486: 2},2,0,0,0,0,0,0,0,0
25523,2011-02-13,0,{78486: 7},7,0,0,0,0,0,0,0,0
25523,2011-02-14,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-15,0,{},0,0,1,0,0,0,1,0,0
25523,2011-02-16,0,{},0,0,0,1,0,0,0,2,0
25523,2011-02-17,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-18,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-19,0,{78486: 3},3,0,0,0,0,0,0,0,0
25523,2011-02-20,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-21,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-22,0,{},0,0,1,0,0,0,1,0,0
25523,2011-02-23,0,{78486: 1},1,0,0,1,1,0,0,0,0
25523,2011-02-24,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-25,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-26,0,{},0,0,0,0,0,0,0,0,0
25523,2011-02-27,0,{78486: 2},2,0,0,0,0,0,0,0,0
25523,2011-02-28,0,{},0,0,1,0,0,0,1,0,0
25523,2011-03-01,0,{},0,0,0,1,1,0,0,4,0
25523,2011-03-02,0,{},0,0,0,0,0,0,0,0,1
25523,2011-03-03,0,{78486: 2},2,0,0,0,0,0,0,0,0
25523,2011-03-04,0,{},0,0,1,0,0,0,1,0,1
25523,2011-03-05,0,{78486: 3},3,0,0,1,0,0,0,4,0
25523,2011-03-06,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-07,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-08,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-09,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-10,0,{},0,0,1,0,0,0,1,0,0
25523,2011-03-11,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-12,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-13,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-14,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-15,0,{},0,0,0,1,0,0,0,10,0
25523,2011-03-16,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-17,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-18,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-19,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-20,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-21,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-22,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-23,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-24,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-25,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-26,0,{78486: 1},1,0,1,0,0,0,1,2,0
25523,2011-03-27,0,{},0,0,0,1,0,0,0,0,0
25523,2011-03-28,0,{},0,0,0,0,0,0,0,0,0
25523,2011-03-29,0,{},0,0,0,0,0,0,1,0,0
25523,2011-03-30,0,{},0,0,0,0,0,0,0,2,0
25523,2011-03-31,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-01,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-02,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-03,0,{},0,0,0,0,0,0,0,2,0
25523,2011-04-04,0,{},0,0,2,1,1,0,2,3,0
25523,2011-04-05,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-06,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-07,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-08,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-09,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-10,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-11,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-12,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-13,0,{},0,0,0,0,0,0,0,2,0
25523,2011-04-14,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-15,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-16,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-17,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-18,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-19,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-20,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-21,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-22,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-23,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-24,0,{},0,0,0,1,0,0,0,0,0
25523,2011-04-25,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-26,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-27,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-28,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-29,0,{},0,0,0,0,0,0,0,0,0
25523,2011-04-30,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-01,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-02,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-03,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-04,0,{},0,0,0,0,0,0,1,0,0
25523,2011-05-05,1,{},0,0,1,0,0,0,1,1,0
25523,2011-05-06,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-07,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-08,0,{},0,0,0,0,0,0,0,2,0
25523,2011-05-09,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-10,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-11,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-12,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-13,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-14,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-15,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-16,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-17,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-18,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-19,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-20,0,{},0,0,1,2,0,0,1,3,0
25523,2011-05-21,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-22,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-23,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-24,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-25,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-26,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-27,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-28,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-29,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-30,0,{},0,0,0,0,0,0,0,0,0
25523,2011-05-31,0,{},0,0,0,0,0,0,0,0,0
25523,2011-06-01,0,{},0,0,1,0,0,0,1,0,0
