project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
1467905,2013-02-14,0,"{865766: 2, 28717: 2}",4,0,0,0,0,0,0,0,0
1467905,2013-02-15,0,"{865766: 2, 28717: 2, 1634289: 1}",5,0,0,0,0,0,0,0,0
1467905,2013-02-16,0,"{1516968: 2, 873258: 1, 865766: 6, 1634451: 2, 28717: 4}",15,0,0,0,0,0,0,0,0
1467905,2013-02-17,0,{28717: 2},2,0,0,0,0,0,0,0,0
1467905,2013-02-18,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-02-19,0,"{1634289: 2, 871778: 1}",3,0,0,0,0,0,0,0,0
1467905,2013-02-20,0,{871778: 1},1,0,0,0,0,0,0,0,0
1467905,2013-02-21,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-02-22,0,{871778: 1},1,0,0,0,0,0,0,0,0
1467905,2013-02-23,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-02-24,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-02-25,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-02-26,0,{871778: 1},1,0,0,0,0,0,0,0,0
1467905,2013-02-27,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-02-28,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-01,0,"{865766: 2, 1678404: 3}",5,0,0,0,0,0,1,0,0
1467905,2013-03-02,0,{28717: 3},3,0,0,0,0,0,0,8,1
1467905,2013-03-03,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-04,0,"{865766: 1, 873258: 1}",2,0,0,0,0,0,0,0,0
1467905,2013-03-05,0,{873258: 1},1,0,0,0,0,0,0,0,0
1467905,2013-03-06,0,{865766: 2},2,0,0,0,0,0,0,0,0
1467905,2013-03-07,0,{865766: 3},3,0,0,0,0,0,0,0,0
1467905,2013-03-08,0,{865766: 2},2,0,0,0,0,0,0,0,0
1467905,2013-03-09,0,"{28717: 3, 865766: 2}",5,0,0,0,0,0,0,0,0
1467905,2013-03-10,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-11,0,{28717: 1},1,0,0,0,0,0,0,0,0
1467905,2013-03-12,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-13,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-14,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-15,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-16,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-17,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-18,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-19,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-20,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-21,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-22,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-23,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-24,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-25,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-26,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-27,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-28,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-29,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-30,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-03-31,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-01,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-02,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-03,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-04,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-05,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-06,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-07,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-08,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-09,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-10,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-11,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-12,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-13,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-14,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-15,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-16,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-17,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-18,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-19,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-20,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-21,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-22,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-23,0,{},0,0,0,0,0,0,0,1,0
1467905,2013-04-24,0,{865766: 1},1,0,0,0,0,0,0,0,0
1467905,2013-04-25,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-26,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-27,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-28,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-29,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-04-30,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-01,0,{1893460: 1},1,0,0,0,0,0,0,0,0
1467905,2013-05-02,0,{865766: 3},3,0,0,0,0,0,0,0,0
1467905,2013-05-03,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-04,0,{1924062: 1},1,0,0,0,0,0,0,0,0
1467905,2013-05-05,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-06,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-07,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-08,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-09,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-10,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-11,0,{865766: 3},3,0,0,0,0,0,0,0,0
1467905,2013-05-12,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-13,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-14,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-15,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-16,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-17,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-18,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-19,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-20,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-21,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-22,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-23,0,{871778: 2},2,0,0,0,0,0,0,0,0
1467905,2013-05-24,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-25,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-26,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-27,0,"{865766: 2, 1893459: 1, 1924062: 5}",8,0,0,0,0,0,0,0,0
1467905,2013-05-28,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-29,0,{},0,0,0,0,0,0,0,0,0
1467905,2013-05-30,0,{1893460: 1},1,0,0,0,0,0,0,0,0
