project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
69299,2013-01-01,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-02,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-03,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-04,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-05,1,{},0,0,0,0,0,0,0,0,0
69299,2013-01-06,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-07,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-08,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-09,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-10,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-11,0,{27976: 3},3,0,0,0,0,0,0,0,0
69299,2013-01-12,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-13,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-14,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-15,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-16,0,{27976: 1},1,0,0,0,0,0,0,0,0
69299,2013-01-17,0,"{27976: 7, 33333: 1}",8,0,0,0,0,0,0,0,0
69299,2013-01-18,0,{27976: 1},1,0,0,0,0,0,0,0,0
69299,2013-01-19,0,{33333: 1},1,0,0,0,0,0,0,0,0
69299,2013-01-20,0,{33333: 1},1,0,0,0,0,0,0,0,0
69299,2013-01-21,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-22,0,"{27976: 4, 33333: 1}",5,0,0,0,0,0,0,0,0
69299,2013-01-23,0,{33333: 3},3,0,0,0,0,0,0,0,0
69299,2013-01-24,0,{},0,0,0,0,0,0,0,0,0
69299,2013-01-25,0,{27976: 1},1,0,0,0,0,0,0,0,0
69299,2013-01-26,0,{33333: 1},1,0,0,0,0,0,0,0,0
69299,2013-01-27,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-01-28,0,{33333: 7},7,0,0,0,0,0,0,0,0
69299,2013-01-29,0,"{27976: 1, 33333: 8}",9,0,0,0,0,0,0,0,0
69299,2013-01-30,0,"{33333: 3, 33312: 1, 27976: 3}",7,0,0,0,0,0,0,0,0
69299,2013-01-31,0,"{33333: 3, 27976: 3}",6,0,0,0,0,0,0,0,0
69299,2013-02-01,0,"{33333: 6, 27976: 20}",26,0,0,0,0,0,0,0,0
69299,2013-02-02,0,{27976: 6},6,0,0,0,0,0,0,0,0
69299,2013-02-03,0,{27976: 7},7,0,0,0,0,0,0,0,0
69299,2013-02-04,0,"{33333: 8, 27976: 3, 33312: 2}",13,0,0,0,0,0,0,0,0
69299,2013-02-05,0,"{33333: 2, 27976: 1}",3,0,0,0,0,0,0,0,0
69299,2013-02-06,0,{},0,0,0,0,0,0,0,0,0
69299,2013-02-07,0,"{33333: 5, 33314: 1, 27976: 2}",8,0,0,0,0,0,0,0,0
69299,2013-02-08,0,"{33333: 2, 27976: 1}",3,0,0,0,0,0,0,0,0
69299,2013-02-09,0,{},0,0,0,0,0,0,0,0,0
69299,2013-02-10,0,{27976: 1},1,0,0,0,0,0,0,0,0
69299,2013-02-11,0,"{27976: 7, 33333: 1}",8,0,0,0,0,0,0,0,0
69299,2013-02-12,0,"{27976: 6, 33333: 5}",11,0,0,0,0,0,0,0,0
69299,2013-02-13,0,"{27976: 8, 33312: 1, 33305: 1}",10,0,0,0,0,0,0,0,0
69299,2013-02-14,0,"{27976: 19, 33333: 3}",22,0,0,0,0,0,0,0,0
69299,2013-02-15,0,"{33346: 1, 27976: 1, 33333: 3}",5,0,0,0,0,0,0,0,0
69299,2013-02-16,0,"{33333: 1, 27976: 1}",2,0,0,0,0,0,0,0,0
69299,2013-02-17,0,{},0,0,0,0,0,0,0,0,0
69299,2013-02-18,0,"{27976: 10, 33333: 1}",11,0,0,0,0,0,0,0,0
69299,2013-02-19,0,"{33333: 13, 27976: 6}",19,0,0,0,0,0,0,0,1
69299,2013-02-20,0,"{27976: 6, 33333: 3}",9,0,0,0,0,0,0,0,1
69299,2013-02-21,0,"{33333: 14, 27976: 6}",20,0,0,0,0,0,0,0,0
69299,2013-02-22,0,"{33333: 17, 27976: 27, 33314: 1}",45,0,0,0,0,0,0,0,0
69299,2013-02-23,0,{33333: 7},7,0,0,0,0,0,0,0,0
69299,2013-02-24,0,{33333: 5},5,0,0,0,0,0,0,0,0
69299,2013-02-25,0,"{33333: 6, 27976: 2}",8,0,0,0,0,0,0,0,0
69299,2013-02-26,0,"{33333: 27, 27976: 9}",36,0,0,0,0,0,0,0,0
69299,2013-02-27,0,"{33333: 11, 27976: 15}",26,0,0,0,0,0,0,0,0
69299,2013-02-28,0,{27976: 6},6,0,0,0,0,0,0,0,0
69299,2013-03-01,0,{27976: 18},18,0,0,0,0,0,0,0,0
69299,2013-03-02,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-03,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-04,1,"{33333: 3, 27976: 6}",9,0,1,1,1,0,1,1,0
69299,2013-03-05,0,{27976: 4},4,0,0,0,0,0,0,0,0
69299,2013-03-06,0,"{33333: 3, 33314: 1, 27976: 1}",5,0,0,0,0,0,0,0,0
69299,2013-03-07,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-08,0,{33333: 3},3,0,0,0,0,0,0,0,0
69299,2013-03-09,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-10,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-11,0,{33333: 6},6,0,0,0,0,0,0,0,0
69299,2013-03-12,0,{33333: 3},3,0,0,0,0,0,0,0,0
69299,2013-03-13,0,{33333: 5},5,0,0,0,0,0,0,0,0
69299,2013-03-14,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-03-15,0,{33333: 5},5,0,0,0,0,0,0,0,0
69299,2013-03-16,0,{33333: 3},3,0,0,0,0,0,0,0,0
69299,2013-03-17,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-03-18,0,"{33305: 1, 33333: 6}",7,0,0,0,0,0,0,0,1
69299,2013-03-19,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-20,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-03-21,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-03-22,0,"{33333: 5, 33312: 2}",7,0,0,0,0,0,0,0,0
69299,2013-03-23,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-24,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-25,0,"{33333: 14, 27976: 3}",17,0,0,0,0,0,0,0,0
69299,2013-03-26,0,"{27976: 3, 33333: 12}",15,0,0,0,0,0,0,0,0
69299,2013-03-27,0,{27976: 2},2,0,0,0,0,0,0,0,0
69299,2013-03-28,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-29,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-30,0,{},0,0,0,0,0,0,0,0,0
69299,2013-03-31,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-01,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-02,0,{},0,0,0,0,0,0,0,0,1
69299,2013-04-03,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-04,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-05,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-06,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-07,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-08,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-09,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-10,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-11,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-12,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-13,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-14,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-15,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-16,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-17,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-18,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-19,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-20,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-21,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-22,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-23,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-24,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-25,0,{27976: 2},2,0,0,0,0,0,0,0,0
69299,2013-04-26,0,{27976: 3},3,0,0,0,0,0,0,0,0
69299,2013-04-27,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-28,0,{},0,0,0,0,0,0,0,0,0
69299,2013-04-29,0,{33315: 1},1,0,0,0,0,0,0,0,0
69299,2013-04-30,0,{},0,0,0,0,0,0,0,0,1
69299,2013-05-01,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-02,0,{27976: 2},2,0,0,0,0,0,0,0,0
69299,2013-05-03,0,"{27976: 2, 33312: 4}",6,0,0,0,0,0,0,0,0
69299,2013-05-04,0,{},0,0,0,0,0,0,0,0,1
69299,2013-05-05,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-06,0,"{33312: 1, 33333: 1}",2,0,0,0,0,0,0,0,0
69299,2013-05-07,0,{33333: 5},5,0,0,0,0,0,0,0,0
69299,2013-05-08,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-09,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-10,1,{},0,0,0,0,0,0,0,0,0
69299,2013-05-11,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-12,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-13,0,"{33333: 2, 27976: 1}",3,0,0,0,0,0,0,0,0
69299,2013-05-14,0,{27976: 2},2,0,0,0,0,0,0,0,1
69299,2013-05-15,0,"{27976: 4, 33333: 2}",6,0,0,0,0,0,0,0,0
69299,2013-05-16,0,"{33333: 4, 27976: 1}",5,0,0,0,0,0,0,0,0
69299,2013-05-17,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-05-18,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-19,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-20,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-05-21,0,{33333: 5},5,0,0,0,0,0,0,0,0
69299,2013-05-22,0,{33333: 19},19,0,0,0,0,0,0,0,0
69299,2013-05-23,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-05-24,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-25,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-26,0,{},0,0,0,0,0,0,0,0,0
69299,2013-05-27,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-05-28,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-05-29,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-05-30,0,"{33314: 1, 33333: 2}",3,0,0,0,0,0,0,0,0
69299,2013-05-31,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-01,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-02,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-03,0,{33333: 8},8,0,0,0,0,0,0,0,0
69299,2013-06-04,0,{33333: 4},4,0,0,0,0,0,0,0,0
69299,2013-06-05,0,{33333: 5},5,0,0,0,0,0,0,0,0
69299,2013-06-06,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-07,0,{33333: 2},2,0,0,0,0,0,0,0,0
69299,2013-06-08,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-09,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-10,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-11,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-12,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-13,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-14,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-15,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-16,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-17,0,{33314: 2},2,0,0,0,0,0,0,0,0
69299,2013-06-18,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-19,0,"{33313: 1, 33333: 1}",2,0,0,0,0,0,0,0,0
69299,2013-06-20,0,"{33333: 8, 33316: 1}",9,0,0,0,0,0,0,0,0
69299,2013-06-21,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-22,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-23,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-24,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-25,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-26,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-27,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-28,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-29,0,{},0,0,0,0,0,0,0,0,0
69299,2013-06-30,0,{},0,0,0,0,0,0,0,0,0
69299,2013-07-01,1,{},0,0,0,0,0,0,0,0,0
69299,2013-07-02,0,"{33333: 15, 33314: 1}",16,0,0,0,0,0,0,0,0
