project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
7608,2008-12-27,0,{},0,0,0,0,0,0,0,0,0
7608,2008-12-28,0,{},0,0,0,0,0,0,0,0,2
7608,2008-12-29,0,{},0,0,0,0,0,0,0,0,1
7608,2008-12-30,0,{},0,0,0,0,0,0,0,0,1
7608,2008-12-31,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-01,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-02,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-03,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-04,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-05,0,{},0,0,0,0,0,0,0,0,3
7608,2009-01-06,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-07,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-08,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-09,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-10,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-11,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-12,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-13,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-14,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-15,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-16,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-17,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-18,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-19,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-20,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-21,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-22,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-23,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-24,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-25,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-26,0,{},0,0,0,0,0,0,0,0,1
7608,2009-01-27,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-28,0,{},0,0,0,0,0,0,0,0,3
7608,2009-01-29,0,{},0,0,0,0,0,0,0,0,2
7608,2009-01-30,0,{},0,0,0,0,0,0,0,0,0
7608,2009-01-31,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-01,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-02,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-03,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-04,0,{},0,0,0,0,0,0,0,0,3
7608,2009-02-05,0,{},0,0,0,0,0,0,0,0,2
7608,2009-02-06,0,{},0,0,0,0,0,0,0,0,2
7608,2009-02-07,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-08,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-09,0,{},0,0,0,0,0,0,0,0,4
7608,2009-02-10,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-11,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-12,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-13,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-14,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-15,0,{},0,0,0,0,0,0,0,0,2
7608,2009-02-16,0,{},0,0,0,0,0,0,0,0,2
7608,2009-02-17,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-18,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-19,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-20,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-21,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-22,0,{},0,0,0,0,0,0,0,0,2
7608,2009-02-23,0,{},0,0,0,0,0,0,0,0,2
7608,2009-02-24,0,{},0,0,0,0,0,0,0,0,1
7608,2009-02-25,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-26,0,{},0,0,0,0,0,0,0,0,0
7608,2009-02-27,0,{},0,0,0,0,0,0,0,0,4
7608,2009-02-28,0,{},0,0,0,0,0,0,0,0,4
7608,2009-03-01,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-02,0,{},0,0,0,0,0,0,0,0,4
7608,2009-03-03,0,{},0,0,0,0,0,0,0,0,3
7608,2009-03-04,0,{},0,0,0,0,0,0,0,0,3
7608,2009-03-05,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-06,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-07,0,{},0,0,0,0,0,0,0,0,1
7608,2009-03-08,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-09,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-10,0,{},0,0,0,0,0,0,0,0,5
7608,2009-03-11,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-12,0,{},0,0,0,0,0,0,0,0,1
7608,2009-03-13,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-14,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-15,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-16,0,{},0,0,0,0,0,0,0,0,1
7608,2009-03-17,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-18,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-19,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-20,0,{},0,0,0,0,0,0,0,0,1
7608,2009-03-21,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-22,0,{},0,0,0,0,0,0,0,0,1
7608,2009-03-23,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-24,0,{},0,0,0,0,0,0,0,0,3
7608,2009-03-25,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-26,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-27,0,{},0,0,0,0,0,0,0,0,2
7608,2009-03-28,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-29,0,{},0,0,0,0,0,0,0,0,0
7608,2009-03-30,0,{},0,0,0,0,0,0,0,0,3
7608,2009-03-31,0,{},0,0,0,0,0,0,0,0,1
7608,2009-04-01,0,{},0,0,0,0,0,0,0,0,7
7608,2009-04-02,0,{},0,0,0,0,0,0,0,0,3
7608,2009-04-03,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-04,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-05,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-06,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-07,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-08,0,{},0,0,0,0,0,0,0,0,1
7608,2009-04-09,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-10,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-11,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-12,0,{},0,0,0,0,0,0,0,0,5
7608,2009-04-13,0,{},0,0,0,0,0,0,0,0,3
7608,2009-04-14,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-15,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-16,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-17,0,{},0,0,0,0,0,0,0,0,3
7608,2009-04-18,0,{},0,0,0,0,0,0,0,0,1
7608,2009-04-19,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-20,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-21,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-22,0,{},0,0,0,0,0,0,0,0,4
7608,2009-04-23,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-24,0,{},0,0,0,0,0,0,0,0,1
7608,2009-04-25,0,{},0,0,0,0,0,0,0,0,3
7608,2009-04-26,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-27,0,{},0,0,0,0,0,0,0,0,0
7608,2009-04-28,0,{},0,0,0,0,0,0,0,0,2
7608,2009-04-29,0,{},0,0,0,0,0,0,0,0,3
7608,2009-04-30,0,{},0,0,0,0,0,0,0,0,2
7608,2009-05-01,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-02,0,{},0,0,0,0,0,0,0,0,2
7608,2009-05-03,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-04,0,{},0,0,0,0,0,0,0,0,3
7608,2009-05-05,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-06,0,{},0,0,0,0,0,0,0,0,6
7608,2009-05-07,0,{},0,0,0,0,0,0,0,0,3
7608,2009-05-08,0,{},0,0,0,0,0,0,0,0,2
7608,2009-05-09,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-10,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-11,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-12,0,{},0,0,0,0,0,0,0,0,8
7608,2009-05-13,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-14,0,{},0,0,0,0,0,0,1,0,1
7608,2009-05-15,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-16,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-17,0,{},0,0,0,0,0,0,0,0,2
7608,2009-05-18,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-19,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-20,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-21,0,{},0,0,0,0,0,0,0,0,2
7608,2009-05-22,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-23,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-24,0,{},0,0,0,0,0,0,0,0,2
7608,2009-05-25,0,{},0,0,0,0,0,0,0,0,2
7608,2009-05-26,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-27,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-28,0,{},0,0,0,0,0,0,0,0,0
7608,2009-05-29,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-30,0,{},0,0,0,0,0,0,0,0,1
7608,2009-05-31,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-01,0,{},0,0,0,0,0,0,0,0,3
7608,2009-06-02,0,{},0,0,0,0,0,0,0,0,0
7608,2009-06-03,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-04,0,{},0,0,0,0,0,0,0,0,0
7608,2009-06-05,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-06,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-07,0,{},0,0,0,0,0,0,0,0,2
7608,2009-06-08,0,{},0,0,0,0,0,0,0,0,0
7608,2009-06-09,0,{},0,0,0,0,0,0,0,0,0
7608,2009-06-10,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-11,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-12,0,{},0,0,0,0,0,0,0,0,3
7608,2009-06-13,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-14,0,{},0,0,0,0,0,0,0,0,3
7608,2009-06-15,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-16,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-17,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-18,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-19,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-20,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-21,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-22,0,{},0,0,0,0,0,0,0,0,2
7608,2009-06-23,0,{},0,0,0,0,0,0,0,0,2
7608,2009-06-24,0,{},0,0,0,0,0,0,0,0,0
7608,2009-06-25,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-26,0,{},0,0,0,0,0,0,0,0,0
7608,2009-06-27,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-28,0,{},0,0,0,0,0,0,0,0,0
7608,2009-06-29,0,{},0,0,0,0,0,0,0,0,1
7608,2009-06-30,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-01,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-02,0,{},0,0,0,0,0,0,0,0,2
7608,2009-07-03,0,{},0,0,0,0,0,0,0,0,3
7608,2009-07-04,0,{},0,0,0,0,0,0,0,0,2
7608,2009-07-05,0,{},0,0,0,0,0,0,0,0,2
7608,2009-07-06,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-07,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-08,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-09,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-10,0,{},0,0,0,0,0,0,0,0,3
7608,2009-07-11,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-12,0,{},0,0,0,0,0,0,0,0,2
7608,2009-07-13,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-14,0,{},0,0,0,0,0,0,0,0,3
7608,2009-07-15,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-16,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-17,0,{},0,0,0,0,0,0,0,0,2
7608,2009-07-18,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-19,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-20,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-21,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-22,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-23,1,{},0,0,0,0,0,0,0,0,2
7608,2009-07-24,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-25,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-26,0,{},0,0,0,0,0,0,0,0,5
7608,2009-07-27,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-28,0,{},0,0,0,0,0,0,0,0,3
7608,2009-07-29,0,{},0,0,0,0,0,0,0,0,1
7608,2009-07-30,0,{},0,0,0,0,0,0,0,0,0
7608,2009-07-31,0,{},0,0,0,0,0,0,0,0,0
7608,2009-08-01,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-02,0,{},0,0,0,0,0,0,0,0,0
7608,2009-08-03,0,{},0,0,0,0,0,0,0,0,2
7608,2009-08-04,0,{},0,0,0,0,0,0,0,0,0
7608,2009-08-05,0,{},0,0,0,0,0,0,0,0,2
7608,2009-08-06,0,{},0,0,0,0,0,0,0,0,4
7608,2009-08-07,0,{},0,0,0,0,0,0,0,0,0
7608,2009-08-08,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-09,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-10,0,{},0,0,0,0,0,0,0,0,2
7608,2009-08-11,0,{},0,0,0,0,0,0,0,0,2
7608,2009-08-12,0,{},0,0,0,0,0,0,0,0,2
7608,2009-08-13,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-14,0,{},0,0,0,0,0,0,0,0,0
7608,2009-08-15,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-16,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-17,0,{},0,0,0,0,0,0,0,0,2
7608,2009-08-18,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-19,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-20,0,{},0,0,0,0,0,0,0,0,3
7608,2009-08-21,0,{},0,0,0,0,0,0,0,0,0
7608,2009-08-22,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-23,0,{},0,0,0,0,0,0,0,0,1
7608,2009-08-24,0,{},0,0,0,0,0,0,0,0,0
7608,2009-08-25,0,{},0,0,0,0,0,0,0,0,7
